MM,YYYY,Date,HRS,MIN,Nest_Type,Nest_Disturbance,Y,X
10,2017,10/6/2017,,,Nest,Lost,-3.071898,126.565335
10,2017,10/16/2017,,,Nest,Lost,-3.071945,126.566784
10,2017,10/21/2017,,,Nest,Secure,-3.068894,126.616832
10,2017,10/23/2017,,,False_Crawls,Non_Nesting,-3.070128,126.62883
10,2017,10/29/2017,,,Nest,Secure,-3.07193,126.564686
11,2017,11/1/2017,,,False_Crawls,Non_Nesting,-3.072185,126.558426
11,2017,11/5/2017,,,Nest,Secure,-3.071988,126.565114
11,2017,11/7/2017,,,False_Crawls,Non_Nesting,-3.069989,126.579294
11,2017,11/15/2017,,,Nest,Lost,-3.071898,126.564185
11,2017,11/16/2017,,,Nest,Lost,-3.072029,126.562561
11,2017,11/17/2017,,,Nest,Secure,-3.06975,126.583471
11,2017,11/24/2017,,,Nest,Lost,-3.071919,126.564557
11,2017,11/25/2017,,,False_Crawls,Non_Nesting,-3.072029,126.561444
11,2017,11/26/2017,,,Nest,Secure,-3.071992,126.565936
11,2017,11/27/2017,,,False_Crawls,Non_Nesting,-3.072242,126.550435
11,2017,11/28/2017,,,Nest,Secure,-3.072268,126.548287
11,2017,11/30/2017,,,Nest,Secure,-3.071383,126.523867
12,2017,12/8/2017,,,Nest,Secure,-3.072469,126.543767
12,2017,12/9/2017,3,37,Nesting_Individu,Secure,-3.072354,126.553593
12,2017,12/9/2017,,,Nest,Secure,-3.071971,126.563337
12,2017,12/17/2017,,,Nest,Secure,-3.072361,126.553466
12,2017,12/17/2017,,,Nest,Secure,-3.072374,126.553598
12,2017,12/18/2017,,,Nest,Secure,-3.072566,126.54332
12,2017,12/18/2017,,,Nest,Secure,-3.072548,126.543309
12,2017,12/18/2017,,,False_Crawls,Non_Nesting,-3.069424,126.621779
12,2017,12/19/2017,,,Nest,Secure,-3.072233,126.558133
12,2017,12/23/2017,,,Nest,Lost,-3.071715,126.56949
12,2017,12/25/2017,,,Nest,Lost,-3.069571,126.623334
